Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Arabic Kuthu","Beast",2022,"[Anirudh Ravichander, Jonita Gandhi]","A fun, catchy song blending Arabic sounds with Tamil beats.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Two Two Two","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Sunidhi Chauhan]","A lively song about a quirky love triangle.",Fun,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Naan Pizhai","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Ravi G]","A soulful melody about lost love and longing.",Melancholic,Melody,"[Anirudh Ravichander, Vignesh Shivan]"
"Pathala","Thiruchitrambalam",2022,"[Dhanush, Anirudh Ravichander]","A fun folk-inspired track celebrating a carefree life.",Fun,Folk,"[Anirudh Ravichander, Mithran Jawahar]"
"Vaa Vaathi","Vaathi",2023,"[G. V. Prakash Kumar]","An inspirational song about the importance of education.",Motivational,Melody,"[G. V. Prakash Kumar, Venky Atluri]"
"Marakkuma Nenjam","Vendhu Thanindhathu Kaadu",2022,"[A. R. Rahman, Sarthak Kalyani]","An emotional and haunting song about fear and survival.",Melancholic,Melody,"[A. R. Rahman, Gautham Menon]"
"Yenjathe","Etharkkum Thunindhavan",2022,"[G. V. Prakash Kumar]","A motivational song about courage and self-confidence.",Motivational,Folk,"[D. Imman, Pandiraj]"
"Private Party","Don",2022,"[Anirudh Ravichander, Jonita Gandhi]","A high-energy dance track with funky beats.",Energetic,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Ponni Nadhi","Ponniyin Selvan",2022,"[A. R. Rahman, AR Raihanah]","A folk-inspired song about the beauty of nature.",Inspiring,Folk,"[A. R. Rahman, Mani Ratnam]"
"Sol","Sita Ramam",2022,"[Yazin Nizar, Chinmayi]","A sweet romantic melody set against a scenic backdrop.",Romantic,Melody,"[Vishal Chandrasekhar, Hanu Raghavapudi]"
"Thumbi Thullal","Cobra",2022,"[Shreya Ghoshal, Nakul Abhyankar]","A lighthearted song filled with romantic playfulness.",Romantic,Folk,"[A. R. Rahman, Ajay Gnanamuthu]"
"Thandatti Karuppayi","Viruman",2022,"[Yuvan Shankar Raja]","A powerful, folk number celebrating rural traditions.",Energetic,Folk,"[Yuvan Shankar Raja, Muthaiya]"
"Vizhiyile","Oh My Kadavule",2020,"[Sid Sriram]","A soft, emotional love song expressing heartfelt emotions.",Romantic,Melody,"[Leon James, Ashwath Marimuthu]"
"Aga Naga","Ponniyin Selvan 2",2023,"[Shakthisree Gopalan]","A serene romantic melody with lush instrumentation.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Rendu Kaadhal","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Ravi G]","A quirky, fun song about a love triangle.",Fun,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Sol Sol","Sardar",2022,"[Sid Sriram]","A melodious, emotional track about overcoming challenges.",Melancholic,Melody,"[G. V. Prakash Kumar, P. S. Mithran]"
"Chilla Chilla","Thunivu",2023,"[Anirudh Ravichander]","A high-octane, energetic song about confidence and style.",Energetic,Pop,"[Ghibran, H. Vinoth]"
"Meherezylaa","Maanadu",2021,"[Yuvan Shankar Raja]","A playful, fun track with contemporary beats.",Fun,Pop,"[Yuvan Shankar Raja, Venkat Prabhu]"
"Mayakirriye","Don",2022,"[Anirudh Ravichander, Shweta Mohan]","A peppy song about playful love.",Fun,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Veyyon Silli","Soorarai Pottru",2020,"[Harish Sivaramakrishnan]","An uplifting folk song about dreams and aspirations.",Inspiring,Folk,"[G. V. Prakash Kumar, Sudha Kongara]"
"Breakup Song","Beast",2022,"[Anirudh Ravichander]","A peppy, humorous take on post-breakup life.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Thaniye Thananthaniye","Kuruthi Aattam",2022,"[Yuvan Shankar Raja]","A powerful, emotional track about solitude and reflection.",Melancholic,Melody,"[Yuvan Shankar Raja, Srikanth]"
"Sandhanam","Master",2021,"[Anirudh Ravichander]","An intense song with heavy beats and an action-packed feel.",Energetic,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Oru Jaathi Oru Matham","Cobra",2022,"[Sivam]","An emotional song about equality and humanity.",Inspiring,Folk,"[A. R. Rahman, Ajay Gnanamuthu]"
"Soul of Varisu","Varisu",2023,"[K. S. Chithra]","A heart-touching song about love and family.",Emotional,Melody,"[Thaman S, Vamshi Paidipally]"
"Manasil","Oh My Kadavule",2020,"[Sid Sriram]","A slow romantic ballad expressing deep love.",Romantic,Melody,"[Leon James, Ashwath Marimuthu]"
"Anbarey","Bigil",2020,"[Sid Sriram]","A motivational, emotional song about achieving one's dreams.",Inspiring,Melody,"[A. R. Rahman, Atlee]"
"Jolly O Gymkhana","Beast",2022,"[Vijay, Anirudh Ravichander]","A fun, upbeat party song celebrating life's joys.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Etharkum Thunindhavan Title Track","Etharkum Thunindhavan",2022,"[D. Imman]","An inspiring track about bravery and taking risks.",Inspiring,Folk,"[D. Imman, Pandiraj]"
"Mudhal Nee Mudivum Nee","Mudhal Nee Mudivum Nee",2022,"[Darbuka Siva]","A nostalgic melody about first love and lost opportunities.",Melancholic,Melody,"[Darbuka Siva, Darbuka Siva]"
"Yaathi Yaathi","Yaanai",2022,"[Anirudh Ravichander, Haricharan]","A high-energy track celebrating love and togetherness.",Fun,Folk,"[G. V. Prakash Kumar, Hari]"
"Master the Blaster","Master",2021,"[Anirudh Ravichander]","A fun, upbeat song that became an anthem for action-lovers.",Fun,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Unna Nenachu","Psycho",2020,"[Sid Sriram]","A soulful, melancholic song about unrequited love.",Melancholic,Melody,"[Ilaiyaraaja, Mysskin]"
"Adchithooku","Viswasam",2019,"[D. Imman, Aditya Gadhavi]","A high-energy song celebrating rural life and bravery.",Energetic,Folk,"[D. Imman, Siva]"
