Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Sakkarakatti","Sakkarakatti",2008,"[Naresh Iyer]","A vibrant, energetic number about falling in love.",Fun,Pop,"[A. R. Rahman, Kalaprabhu]"
"Uyirin Uyire","Kaakha Kaakha",2003,"[Hariharan, Mahalakshmi Iyer]","A passionate love song depicting intense emotions between the lead characters.",Romantic,Soundtrack,"[Harris Jayaraj, Gautham Menon]"
"Munbe Vaa","Sillunu Oru Kaadhal",2006,"[Shreya Ghoshal, Naresh Iyer]","A soulful romantic melody that conveys the deep emotions of love and longing.",Romantic,Melody,"[A. R. Rahman, A. C. Durai]"
"Oru Maalai","Ghajini",2005,"[Karthik]","A soothing song about waiting for a loved one with hope and longing.",Melancholic,Soundtrack,"[Harris Jayaraj, Murugadoss]"
"Devathaiyai Kanden","Kadhal Kondein",2003,"[Harish Raghavendra]","A melancholic track that expresses a heartbroken man's feelings.",Sad,Soundtrack,"[Yuvan Shankar Raja, Selvaraghavan]"
"Appadi Podu","Ghilli",2004,"[Kay Kay, Anuradha Sriram]","A peppy dance number that became a sensation across Tamil Nadu.",Energetic,Folk,"[Vidyasagar, Dharani]"
"Suttum Vizhi","Ghajini",2005,"[Sadhana Sargam]","A love ballad that speaks about the beauty and charm of a lover's eyes.",Romantic,Melody,"[Harris Jayaraj, Murugadoss]"
"Kaatre En Vaasal","Rhythm",2000,"[Hariharan]","A soothing melody portraying the beauty of nature and love.",Calm,Soundtrack,"[A. R. Rahman, Vasanth]"
"Kannaalane","Bombay",2000,"[K. S. Chithra]","A romantic song about a woman's affection and admiration for her lover.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Sollamal Thottu Chellum","Dheena",2001,"[Hariharan]","A passionate love song that explores the depth of emotions.",Romantic,Melody,"[Yuvan Shankar Raja, A. R. Murugadoss]"
"Uyire Uyire","Bombay",2000,"[Hariharan, K. S. Chithra]","A timeless song that conveys intense longing for a loved one.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Anbe En Anbe","Dhaam Dhoom",2002,"[Harish Raghavendra, Mahalakshmi Iyer]","A passionate melody where the lovers express their emotions.",Romantic,Soundtrack,"[Harris Jayaraj, Jeeva]"
"Vaseegara","Minnale",2001,"[Bombay Jayashri]","A soft romantic song that has become an anthem of love.",Romantic,Soundtrack,"[Harris Jayaraj, Gautham Menon]"
"Ragasiyamai","Baba",2002,"[Hariharan]","A song that delves into mysticism and spiritual introspection.",Spiritual,Soundtrack,"[A. R. Rahman, Rajinikanth]"
"Oru Thadavai Solli","Run",2002,"[Shankar Mahadevan]","A motivating song encouraging to seize every opportunity.",Energetic,Folk,"[Vidyasagar, Lingusamy]"
"Azhagiya Theeye","Minnale",2001,"[Harish Raghavendra]","A fun-filled song about admiring someone from afar.",Fun,Soundtrack,"[Harris Jayaraj, Gautham Menon]"
"Manmadhane Nee","Manmadhan",2004,"[Sadhana Sargam]","A song about admiration and infatuation.",Romantic,Soundtrack,"[Yuvan Shankar Raja, A. J. Murugan]"
"Devathai Pol Oru Pen","Vaseegara",2000,"[Harini]","A poetic song expressing admiration for a divine woman.",Romantic,Folk,"[Yuvan Shankar Raja, Bala]"
"Kadhal Sadugudu","Alaipayuthey",2000,"[S.P. Balasubrahmanyam]","A love anthem that conveys the innocence of young love.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Mudhal Mudhal Mazhai","Boys",2003,"[Karthik, Vasundhara Das]","A youthful song celebrating the joy of love.",Romantic,Pop,"[A. R. Rahman, Shankar]"
"Sakkarai Nilave","Youth",2002,"[Hariharan, Anuradha Sriram]","A playful romantic song highlighting the sweetness of love.",Fun,Folk,"[Mani Sharma, Vincent Selva]"
"June Ponaal","Unnale Unnale",2005,"[Krishna, Haricharan]","A breezy love song narrating the freshness of a new relationship.",Romantic,Pop,"[Harris Jayaraj, Jeeva]"
"Oru Naalil","Pudhupettai",2006,"[Yuvan Shankar Raja]","A reflective track that explores the nature of change and life.",Melancholic,Soundtrack,"[Yuvan Shankar Raja, Selvaraghavan]"
"Thaniye Thananthaniye","Rhythm",2000,"[Shankar Mahadevan]","A contemplative song about solitude and peace.",Calm,Soundtrack,"[A. R. Rahman, Vasanth]"
"Kannai Katti","Nanda",2001,"[Hariharan]","A mysterious and emotional song that delves into inner turmoil.",Melancholic,Soundtrack,"[Yuvan Shankar Raja, Bala]"
"Kaatre En Vaasal","Rhythm",2000,"[Hariharan]","A melodious track highlighting the serene moments of love.",Calm,Soundtrack,"[A. R. Rahman, Vasanth]"
"Ennavale Adi Ennavale","Kadhalan",2004,"[Unni Menon]","A heart-wrenching love song filled with deep emotions.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Enge Enadhu Kavithai","Kandukondain Kandukondain",2000,"[Chithra]","A song of reflection about lost love.",Melancholic,Melody,"[A. R. Rahman, Rajiv Menon]"
"Vaaji Vaaji","Sivaji",2007,"[Hariharan, Madhushree]","A celebratory song about beauty and triumph.",Celebratory,Folk,"[A. R. Rahman, Shankar]"
"Kannathil Muthamittal","Kannathil Muthamittal",2002,"[Jayachandran]","A song about the innocence and purity of a child's kiss.",Romantic,Folk,"[A. R. Rahman, Mani Ratnam]"
"Sandai Kozhi","Aayutha Ezhuthu",2004,"[Hariharan]","A high-energy track that focuses on battles and survival.",Energetic,Mass,"[A. R. Rahman, Mani Ratnam]"
"Konjum Mainakkale","Kandukondain Kandukondain",2000,"[Shankar Mahadevan]","A melodious song filled with admiration and wonder.",Romantic,Folk,"[A. R. Rahman, Rajiv Menon]"
"Kannum Kannum Nokia","Anniyan",2005,"[Leslie Lewis]","A peppy number filled with zest and energy.",Energetic,Pop,"[Harris Jayaraj, Shankar]"
"Narumugaiye","Iruvar",2001,"[Unnikrishnan, Bombay Jayashri]","A classical song about admiring the beauty of a lover.",Romantic,Classical,"[A. R. Rahman, Mani Ratnam]"
"Pookkalae Satru Oivedungal","I",2004,"[Haricharan, Shreya Ghoshal]","A poetic love song filled with mesmerizing music.",Romantic,Folk,"[A. R. Rahman, Shankar]"
"Why This Kolaveri Di","3",2012,"[Dhanush, Anirudh Ravichander]","A humorous song expressing the frustration of love failure.",Fun,Pop,"[Anirudh Ravichander, Aishwarya R. Dhanush]"
"Vaaya Moodi Summa Iruda","Mugamoodi",2012,"[Aalaap Raju, Chinmayi]","A fun and playful track that reflects on carefree moments.",Fun,Pop,"[K, Mysskin]"
"Elay Keechan","Kadal",2013,"[A. R. Rahman, Abhay Jodhpurkar]","A breezy, adventurous track about the joy of fishing and life near the sea.",Happy,Folk,"[A. R. Rahman, Mani Ratnam]"
"Anbin Vaasale","Kochadaiiyaan",2014,"[Haricharan]","An emotional song about seeking solace and divine love.",Melancholic,Classical,"[A. R. Rahman, Soundarya Rajinikanth]"
"Po Indru Neeyaga","VIP",2014,"[Anirudh Ravichander]","A soulful track about the beauty of love and togetherness.",Romantic,Melody,"[Anirudh Ravichander, Velraj]"
"Oodhungada Sangu","VIP",2014,"[Anirudh Ravichander, Velmurugan]","A high-energy song about breaking free from challenges.",Energetic,Pop,"[Anirudh Ravichander, Velraj]"
"Kannaana Kanne","Naanum Rowdy Dhaan",2015,"[Sid Sriram]","A melodious track reflecting the feelings of love and admiration.",Romantic,Melody,"[Anirudh Ravichander, Vignesh Shivan]"
"Aathi","Kaththi",2014,"[Vijay, Anirudh Ravichander]","A romantic song with a modern vibe celebrating love.",Romantic,Pop,"[Anirudh Ravichander, A. R. Murugadoss]"
"Ennodu Nee Irundhaal","I",2015,"[Sid Sriram, Sunitha Sarathy]","A powerful romantic ballad about staying together against all odds.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Pookkale Satru Oyivedungal","I",2015,"[Haricharan, Shreya Ghoshal]","A soul-stirring romantic number reflecting deep love and affection.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Selfie Pulla","Kaththi",2014,"[Vijay, Sunidhi Chauhan]","A fun, upbeat track filled with energy and modern beats.",Fun,Pop,"[Anirudh Ravichander, A. R. Murugadoss]"
"Unakkenna Venum Sollu","Yennai Arindhaal",2015,"[Benny Dayal, Mahathi]","A soothing track about the search for love and peace.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Mersalaayitten","I",2015,"[Anirudh Ravichander, Neeti Mohan]","A peppy and lively song filled with playful energy.",Fun,Pop,"[A. R. Rahman, Shankar]"
"Usure Pogudhey","Raavanan",2010,"[Karthik]","A melancholic track reflecting the internal struggle of a complex relationship.",Sad,Folk,"[A. R. Rahman, Mani Ratnam]"
"Azhagiye","Kaatru Veliyidai",2015,"[Arjun Chandy, Haricharan]","A romantic track expressing the excitement of love in scenic settings.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Danga Maari Oodhari","Anegan",2015,"[Dhanush, Marana Gana Viji]","A fun and energetic track filled with local flavor and street-style beats.",Energetic,Folk,"[Harris Jayaraj, K. V. Anand]"
"Nee Sonna","Vaalu",2015,"[Silambarasan]","A light-hearted romantic song about wooing a loved one.",Fun,Pop,"[S. Thaman, Vijay Chander]"
"Aathichudi","Yennai Arindhaal",2015,"[Harris Jayaraj]","A vibrant track filled with energy and vigor, celebrating cultural roots.",Energetic,Folk,"[Harris Jayaraj, Gautham Menon]"
"Mental Manadhil","O Kadhal Kanmani",2015,"[A. R. Rahman, Jonita Gandhi]","A peppy track expressing the carefree excitement of love.",Fun,Pop,"[A. R. Rahman, Mani Ratnam]"
"Kaara Aattakkaara","O Kadhal Kanmani",2015,"[A. R. Rahman, Darshana]","A refreshing track symbolizing the playfulness and joy of romance.",Fun,Pop,"[A. R. Rahman, Mani Ratnam]"
"Enga Pona Raasa","Maryan",2013,"[Shakthisree Gopalan]","A soulful song depicting the pain of waiting for a loved one.",Melancholic,Melody,"[A. R. Rahman, Bharat Bala]"
"Irumbile Oru Irudhaiyam","Enthiran",2010,"[A. R. Rahman, Kash 'n' Krissy]","A modern, futuristic track with robotic elements, celebrating love in a unique way.",Fun,Electronic,"[A. R. Rahman, Shankar]"
"Boomi Enna Suthudhe","Ethir Neechal",2013,"[Anirudh Ravichander]","A fun and inspirational track about pursuing one's dreams.",Energetic,Pop,"[Anirudh Ravichander, R. S. Durai Senthilkumar]"
"Yele Yele","Raja Rani",2013,"[Shakthisree Gopalan]","A refreshing romantic number filled with youthful energy.",Romantic,Pop,"[G. V. Prakash Kumar, Atlee]"
"Anandha Yaazhai","Thanga Meengal",2013,"[Sriram Parthasarathy]","A heartwarming song about a father's love for his daughter.",Calm,Folk,"[Yuvan Shankar Raja, Ram]"
"Oore Oore","Ethir Neechal",2013,"[Dhanush, Anirudh Ravichander]","A song about perseverance and self-motivation.",Energetic,Folk,"[Anirudh Ravichander, R. S. Durai Senthilkumar]"
"Kanave Kanave","David",2013,"[Anirudh Ravichander]","A melancholic track expressing the pain of unfulfilled dreams.",Sad,Melody,"[Anirudh Ravichander, Bejoy Nambiar]"
"Neeyum Naanum","Naanum Rowdy Dhaan",2015,"[Neeti Mohan, Anirudh Ravichander]","A romantic duet filled with chemistry and light-hearted emotions.",Romantic,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Kadhal Ara Onnu","Vaalu",2015,"[Silambarasan, Andrea Jeremiah]","A light romantic song about the playful pursuit of love.",Romantic,Pop,"[S. Thaman, Vijay Chander]"
"Yaarumilla","Kaaviya Thalaivan",2014,"[Shwetha Mohan, Srinivas]","A classical-based romantic song reflecting emotional depth.",Romantic,Classical,"[A. R. Rahman, Vasanthabalan]"
"Chillena","Raja Rani",2013,"[Neeti Mohan, Vijay Prakash]","A breezy song that conveys relaxation and the feeling of living in the moment.",Chill,Pop,"[G. V. Prakash Kumar, Atlee]"
"Kannukkul Pothivaippen","Thalaivaa",2013,"[G. V. Prakash Kumar]","A romantic song filled with affection and devotion.",Romantic,Pop,"[G. V. Prakash Kumar, A. L. Vijay]"
"Velai Illa Pattadhaari","VIP",2014,"[Dhanush]","A motivational song about the struggles and perseverance of a jobless man.",Energetic,Folk,"[Anirudh Ravichander, Velraj]"
"Amma Amma","VIP",2014,"[S. Janaki, Dhanush]","A deeply emotional track about a son's love for his mother.",Melancholic,Folk,"[Anirudh Ravichander, Velraj]"
"Ennodu Nee Irundhaal","I",2015,"[Sid Sriram]","A powerful ballad about staying together in the face of adversity.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Ithu Kaadhal Kaadhal Kaadhal Da","Jilla",2014,"[Shreya Ghoshal, K. G. Ranjith]","A peppy track that celebrates love with upbeat tunes.",Fun,Pop,"[D. Imman, R. T. Neason]"
"Vizhigalil Oru Vaanavil","Deiva Thirumagal",2011,"[G. V. Prakash Kumar]","A heartwarming song about hope and love.",Romantic,Melody,"[G. V. Prakash Kumar, A. L. Vijay]"
"Nenjukkule","Kadal",2013,"[Shakthisree Gopalan]","A soulful song about yearning and love.",Melancholic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Unnai Pol Oruvan","Vishwaroopam",2013,"[Kamal Haasan, Shankar Mahadevan]","A powerful song questioning societal norms and justice.",Serious,Folk,"[Shankar Ehsaan Loy, Kamal Haasan]"
"Idhazhin Oram","3",2012,"[Ajeesh Ashok]","A light and refreshing romantic song.",Romantic,Melody,"[Anirudh Ravichander, Aishwarya R. Dhanush]"
"Vinnai Thandi Varuvaya","Engeyum Kadhal",2011,"[Devan Ekambaram, Naresh Iyer]","A fun, peppy number about love and excitement.",Fun,Pop,"[Harris Jayaraj, Prabhu Deva]"
"Yaaro Ivan","Udhayam NH4",2013,"[G. V. Prakash Kumar]","A melancholic song about love and loss.",Melancholic,Folk,"[G. V. Prakash Kumar, Manimaran]"
"Kadhal Anukkal","Enthiran",2010,"[Vijay Prakash, Shreya Ghoshal]","A fun romantic song set in a futuristic world.",Fun,Electronic,"[A. R. Rahman, Shankar]"
"En Fuse Pochu","Velaiyilla Pattathari",2014,"[Anirudh Ravichander]","A high-energy song filled with humorous lines.",Fun,Pop,"[Anirudh Ravichander, Velraj]"
"Kutty Story","Master",2021,"[Vijay, Anirudh Ravichander]","A fun, motivational song about living life without stress.",Motivational,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Chellamma","Doctor",2021,"[Anirudh Ravichander, Jonita Gandhi]","A peppy love song with a catchy beat and humorous lyrics.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Vaathi Coming","Master",2021,"[Anirudh Ravichander, Gana Balachandar]","A high-energy folk-pop fusion that became a viral dance hit.",Energetic,Folk,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Rakita Rakita","Jagame Thandhiram",2021,"[Dhanush, Santhosh Narayanan]","A vibrant, celebratory song with upbeat rhythms.",Energetic,Folk,"[Santhosh Narayanan, Karthik Subbaraj]"
"So Baby","Doctor",2021,"[Anirudh Ravichander, Ananthakrrishnan]","A fun, playful song with electronic beats.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Oru Manam","Dhruva Natchathiram",2021,"[Karthik, Chinmayi]","A romantic song expressing deep emotional connection.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Polakatum Para Para","Sulthan",2021,"[Vivek-Mervin, Silambarasan TR]","A folk-based energetic track celebrating rural traditions.",Energetic,Folk,"[Vivek-Mervin, Bakkiyaraj Kannan]"
"Meherezylaa","Maanaadu",2021,"[Yuvan Shankar Raja, Rizwan]","A trendy, upbeat track with a touch of retro vibes.",Fun,Pop,"[Yuvan Shankar Raja, Venkat Prabhu]"
"Jalabulajangu","Don",2022,"[Anirudh Ravichander]","A fun song with catchy beats celebrating youthful spirit.",Fun,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Adiye","Bachelor",2021,"[Dhibu Ninan Thomas]","A mellow, soulful song about intense love and longing.",Romantic,Melody,"[Dhibu Ninan Thomas, Sathish Selvakumar]"
"Pathala Pathala","Vikram",2022,"[Kamal Haasan, Anirudh Ravichander]","A foot-tapping, energetic folk song with witty lyrics.",Energetic,Folk,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Arabic Kuthu","Beast",2022,"[Anirudh Ravichander, Jonita Gandhi]","A fun, catchy song blending Arabic sounds with Tamil beats.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Two Two Two","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Sunidhi Chauhan]","A lively song about a quirky love triangle.",Fun,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Naan Pizhai","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Ravi G]","A soulful melody about lost love and longing.",Melancholic,Melody,"[Anirudh Ravichander, Vignesh Shivan]"
"Pathala","Thiruchitrambalam",2022,"[Dhanush, Anirudh Ravichander]","A fun folk-inspired track celebrating a carefree life.",Fun,Folk,"[Anirudh Ravichander, Mithran Jawahar]"
"Vaa Vaathi","Vaathi",2023,"[G. V. Prakash Kumar]","An inspirational song about the importance of education.",Motivational,Melody,"[G. V. Prakash Kumar, Venky Atluri]"
"Marakkuma Nenjam","Vendhu Thanindhathu Kaadu",2022,"[A. R. Rahman, Sarthak Kalyani]","An emotional and haunting song about fear and survival.",Melancholic,Melody,"[A. R. Rahman, Gautham Menon]"
"Yenjathe","Etharkkum Thunindhavan",2022,"[G. V. Prakash Kumar]","A motivational song about courage and self-confidence.",Motivational,Folk,"[D. Imman, Pandiraj]"
"Private Party","Don",2022,"[Anirudh Ravichander, Jonita Gandhi]","A high-energy dance track with funky beats.",Energetic,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Ponni Nadhi","Ponniyin Selvan",2022,"[A. R. Rahman, AR Raihanah]","A folk-inspired song about the beauty of nature.",Inspiring,Folk,"[A. R. Rahman, Mani Ratnam]"
"Sol","Sita Ramam",2022,"[Yazin Nizar, Chinmayi]","A sweet romantic melody set against a scenic backdrop.",Romantic,Melody,"[Vishal Chandrasekhar, Hanu Raghavapudi]"
"Thumbi Thullal","Cobra",2022,"[Shreya Ghoshal, Nakul Abhyankar]","A lighthearted song filled with romantic playfulness.",Romantic,Folk,"[A. R. Rahman, Ajay Gnanamuthu]"
"Thandatti Karuppayi","Viruman",2022,"[Yuvan Shankar Raja]","A powerful, folk number celebrating rural traditions.",Energetic,Folk,"[Yuvan Shankar Raja, Muthaiya]"
"Vizhiyile","Oh My Kadavule",2020,"[Sid Sriram]","A soft, emotional love song expressing heartfelt emotions.",Romantic,Melody,"[Leon James, Ashwath Marimuthu]"
"Aga Naga","Ponniyin Selvan 2",2023,"[Shakthisree Gopalan]","A serene romantic melody with lush instrumentation.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Rendu Kaadhal","Kaathuvaakula Rendu Kaadhal",2022,"[Anirudh Ravichander, Ravi G]","A quirky, fun song about a love triangle.",Fun,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Sol Sol","Sardar",2022,"[Sid Sriram]","A melodious, emotional track about overcoming challenges.",Melancholic,Melody,"[G. V. Prakash Kumar, P. S. Mithran]"
"Chilla Chilla","Thunivu",2023,"[Anirudh Ravichander]","A high-octane, energetic song about confidence and style.",Energetic,Pop,"[Ghibran, H. Vinoth]"
"Meherezylaa","Maanadu",2021,"[Yuvan Shankar Raja]","A playful, fun track with contemporary beats.",Fun,Pop,"[Yuvan Shankar Raja, Venkat Prabhu]"
"Mayakirriye","Don",2022,"[Anirudh Ravichander, Shweta Mohan]","A peppy song about playful love.",Fun,Pop,"[Anirudh Ravichander, Cibi Chakaravarthi]"
"Veyyon Silli","Soorarai Pottru",2020,"[Harish Sivaramakrishnan]","An uplifting folk song about dreams and aspirations.",Inspiring,Folk,"[G. V. Prakash Kumar, Sudha Kongara]"
"Breakup Song","Beast",2022,"[Anirudh Ravichander]","A peppy, humorous take on post-breakup life.",Fun,Pop,"[Anirudh Ravichander, Nelson Dilipkumar]"
"Thaniye Thananthaniye","Kuruthi Aattam",2022,"[Yuvan Shankar Raja]","A powerful, emotional track about solitude and reflection.",Melancholic,Melody,"[Yuvan Shankar Raja, Srikanth]"
"Sandhanam","Master",2021,"[Anirudh Ravichander]","An intense song with heavy beats and an action-packed feel.",Energetic,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Oru Jaathi Oru Matham","Cobra",2022,"[Sivam]","An emotional song about equality and humanity.",Inspiring,Folk,"[A. R. Rahman, Ajay Gnanamuthu]"
"Soul of Varisu","Varisu",2023,"[K. S. Chithra]","A heart-touching song about love and family.",Emotional,Melody,"[Thaman S, Vamshi Paidipally]"
"Manasil","Oh My Kadavule",2020,"[Sid Sriram]","A slow romantic ballad expressing deep love.",Romantic,Melody,"[Leon James, Ashwath Marimuthu]"
"Anbarey","Bigil",2020,"[Sid Sriram]","A motivational, emotional song about achieving one's dreams.",Inspiring,Melody,"[A. R. Rahman, Atlee]"
