Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Verithanam","Bigil",2019,"[Vijay, Jonita Gandhi]","A high-energy, celebratory anthem about sportsmanship and victory.",Energetic,Pop,"[A. R. Rahman, Atlee]"
"Kaathalae Kaathalae","96",2018,"[Chinmayi, Govind Vasantha]","A melancholic, emotional song about lost love and nostalgia.",Melancholic,Melody,"[Govind Vasantha, C. Prem Kumar]"
"Inkem Inkem","Geetha Govindam",2018,"[Sid Sriram]","A soft, romantic melody with an enchanting feel of first love.",Romantic,Melody,"[Gopi Sundar, Parasuram]"
"Yethi Yethi","Tamizh Padam 2",2018,"[Naresh Iyer, Ranjith]","A fun, satirical track with quirky lyrics and playful beats.",Fun,Pop,"[Kannan, C. S. Amudhan]"
"Yedho Ondru","Thani Oruvan",2015,"[Kharesma Ravichandran]","A soothing melody that conveys the emotions of new love.",Romantic,Melody,"[Hiphop Tamizha, Mohan Raja]"
"Veyyon Silli","Soorarai Pottru",2020,"[Harish Sivaramakrishnan]","A folk-inspired, uplifting song about aspirations and dreams.",Inspiring,Folk,"[G. V. Prakash Kumar, Sudha Kongara]"
"Oru Manam","Dhruva Natchathiram",2017,"[Chinmayi, Karthik]","A heartwarming, romantic track with a soft and peaceful tone.",Romantic,Melody,"[Harris Jayaraj, Gautham Menon]"
"Singappenney","Bigil",2019,"[A. R. Rahman, Shashaa Tirupati]","An empowering anthem celebrating women's strength and resilience.",Inspiring,Folk,"[A. R. Rahman, Atlee]"
"Kambathu Ponnu","Sandakozhi 2",2018,"[Yuvan Shankar Raja, Vishal]","A fun folk number celebrating rural Tamil culture and romance.",Fun,Folk,"[Yuvan Shankar Raja, N. Lingusamy]"
"Pogiren","Mupparimanam",2017,"[Sathya Prakash]","A melodious, emotional track that delves into heartbreak and recovery.",Melancholic,Melody,"[G. V. Prakash Kumar, Adhiroopan]"
"Ennodu Nee Irundhaal","I",2015,"[Sid Sriram, Sunitha Sarathy]","A romantic ballad about staying together in times of hardship.",Romantic,Melody,"[A. R. Rahman, Shankar]"
"Neeyum Naanum","Naanum Rowdy Dhaan",2015,"[Anirudh Ravichander, Neeti Mohan]","A playful and lighthearted love song.",Romantic,Pop,"[Anirudh Ravichander, Vignesh Shivan]"
"Kutty Pattas","Sangathamizhan",2019,"[Santhosh Dhayanidhi, Revanth]","A vibrant folk song with an energetic beat.",Energetic,Folk,"[Vivek-Mervin, Vijay Chandar]"
"High on Love","Pyaar Prema Kaadhal",2018,"[Sid Sriram]","A soothing romantic song that expresses the intoxication of love.",Romantic,Melody,"[Yuvan Shankar Raja, Elan]"
"Kannamma","Kaala",2018,"[Pradeep Kumar]","A soulful melody reflecting the feelings of longing and love.",Romantic,Folk,"[Santhosh Narayanan, Pa. Ranjith]"
"Makkayala","Viswasam",2019,"[Aditya Gadhavi, Narayanan]","A fun, energetic number with rural folk beats.",Fun,Folk,"[D. Imman, Siva]"
"Usurey","Kaappaan",2019,"[Srinisha Jayaseelan]","A melancholic and emotional song that portrays inner turmoil.",Melancholic,Pop,"[Harris Jayaraj, K. V. Anand]"
"Yuvan Yuvathi","Shivaay",2016,"[Haricharan, Mohit Chauhan]","A romantic track about innocence and pure love.",Romantic,Melody,"[Mithoon, Ajay Devgn]"
"Evano Oruvan","Sarvam Thaala Mayam",2019,"[Haricharan]","A devotional track exploring the emotional depth of faith.",Serious,Classical,"[A. R. Rahman, Rajiv Menon]"
"Vikram Title Track","Vikram Vedha",2017,"[Sam C.S., Anirudh Ravichander]","An intense, action-packed song filled with suspense and thrill.",Serious,Pop,"[Sam C. S., Pushkar-Gayathri]"
"Azhagiye","Kaatru Veliyidai",2017,"[Arjun Chandy, Haricharan]","A breezy romantic track that expresses the beauty of love.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Ullam Paadum","Kannum Kannum Kollaiyadithaal",2020,"[Masala Coffee]","A fun and lighthearted track expressing joy and spontaneity.",Fun,Folk,"[Masala Coffee, Desingh Periyasamy]"
"Vaathi Coming","Master",2020,"[Anirudh Ravichander, Gana Balachandar]","A fun and energetic track that became a viral dance sensation.",Fun,Pop,"[Anirudh Ravichander, Lokesh Kanagaraj]"
"Chumma Kizhi","Darbar",2020,"[S. P. Balasubrahmanyam]","An electrifying song about triumph and celebration.",Energetic,Pop,"[Anirudh Ravichander, A. R. Murugadoss]"
"Anbe Peranbe","NGK",2019,"[Sid Sriram, Shreya Ghoshal]","A soft and romantic duet that explores the depths of love.",Romantic,Melody,"[Yuvan Shankar Raja, Selvaraghavan]"
"Adchithooku","Viswasam",2019,"[D. Imman, Aditya Gadhavi]","A high-energy song celebrating rural life and bravery.",Energetic,Folk,"[D. Imman, Siva]"
